"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"TP_MOTIVO";"DS_TP_MOTIVO";"CD_MOTIVO";"DS_MOTIVO"
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"ES";"ES";"ESPÍRITO SANTO";"80001652601";"J";"Fundamentos legais de julgamento";3;"Ficha limpa (LC 64/90)"
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"ES";"ES";"ESPÍRITO SANTO";"80001651646";"J";"Fundamentos legais de julgamento";3;"Ficha limpa (LC 64/90)"
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"ES";"ES";"ESPÍRITO SANTO";"80001619795";"J";"Fundamentos legais de julgamento";3;"Ficha limpa (LC 64/90)"
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"ES";"ES";"ESPÍRITO SANTO";"80001611193";"J";"Fundamentos legais de julgamento";3;"Ficha limpa (LC 64/90)"
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"ES";"ES";"ESPÍRITO SANTO";"80001651653";"J";"Fundamentos legais de julgamento";3;"Ficha limpa (LC 64/90)"
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"ES";"ES";"ESPÍRITO SANTO";"80001609918";"J";"Fundamentos legais de julgamento";3;"Ficha limpa (LC 64/90)"
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"ES";"ES";"ESPÍRITO SANTO";"80001650869";"J";"Fundamentos legais de julgamento";3;"Ficha limpa (LC 64/90)"
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"ES";"ES";"ESPÍRITO SANTO";"80001653394";"J";"Fundamentos legais de julgamento";3;"Ficha limpa (LC 64/90)"
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"ES";"ES";"ESPÍRITO SANTO";"80001645496";"J";"Fundamentos legais de julgamento";3;"Ficha limpa (LC 64/90)"
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"ES";"ES";"ESPÍRITO SANTO";"80001650875";"J";"Fundamentos legais de julgamento";3;"Ficha limpa (LC 64/90)"
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"ES";"ES";"ESPÍRITO SANTO";"80001609912";"J";"Fundamentos legais de julgamento";3;"Ficha limpa (LC 64/90)"
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"ES";"ES";"ESPÍRITO SANTO";"80001652601";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
