"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"TP_MOTIVO";"DS_TP_MOTIVO";"CD_MOTIVO";"DS_MOTIVO"
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001613137";"J";"Fundamentos legais de julgamento";3;"Ficha limpa (LC 64/90)"
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001612786";"J";"Fundamentos legais de julgamento";3;"Ficha limpa (LC 64/90)"
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001603662";"J";"Fundamentos legais de julgamento";3;"Ficha limpa (LC 64/90)"
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001634135";"J";"Fundamentos legais de julgamento";3;"Ficha limpa (LC 64/90)"
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001607606";"J";"Fundamentos legais de julgamento";3;"Ficha limpa (LC 64/90)"
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001724715";"J";"Fundamentos legais de julgamento";3;"Ficha limpa (LC 64/90)"
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001596291";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001671994";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001596315";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001612857";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001615443";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001610901";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001612803";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001634143";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001612852";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001649894";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001610913";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001736062";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"16/09/2024";"03:38:49";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"MG";"MG";"MINAS GERAIS";"130001605815";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
